,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
44,493143.0,951363.0,458175.0,93081.0,572742.0,6166487.0,647502.0,119079.0,2457526.0,589291.0,4284144.0,906160.0,274502.0,671445.0,773011.0,3993441.0,219574.0,58377.0,88397.0,56526.0,1846734.0,1607267.0,277789.0,1020834.0,1182183.0,132160.0,277975.0
45,497406.0,970916.0,474554.0,93656.0,578664.0,6219305.0,646363.0,111738.0,2564159.0,607697.0,4379515.0,933543.0,281119.0,680485.0,561410.0,4121329.0,218517.0,59438.0,88520.0,57249.0,1884080.0,1606759.0,311514.0,1014008.0,1218927.0,132443.0,288051.0
46,506601.0,1005399.0,466265.0,93765.0,580533.0,6340921.0,673674.0,115361.0,2683480.0,615402.0,4473254.0,974368.0,296053.0,695429.0,555752.0,4231603.0,218689.0,61439.0,84714.0,61082.0,1974625.0,1661735.0,355259.0,1071277.0,1250846.0,141135.0,296775.0
47,521238.0,1004551.0,464118.0,99435.0,577239.0,6451531.0,690049.0,122624.0,2763964.0,619580.0,4588110.0,1007154.0,292948.0,708648.0,600643.0,4360496.0,226493.0,61773.0,94607.0,60498.0,1958499.0,1717790.0,387158.0,1089118.0,1244652.0,144712.0,308479.0
48,518269.0,1025406.0,472142.0,100685.0,600557.0,6472195.0,699771.0,120944.0,2851995.0,616474.0,4646395.0,1013813.0,321161.0,748526.0,560865.0,4404451.0,231005.0,60429.0,93836.0,59823.0,2050703.0,1774543.0,438868.0,1081145.0,1308480.0,148471.0,311324.0
49,527870.0,1069353.0,494389.0,102421.0,624589.0,6645023.0,727231.0,121943.0,2972016.0,638380.0,4855220.0,1039872.0,335212.0,753341.0,600269.0,4520932.0,249778.0,69357.0,92351.0,62522.0,2204199.0,1823157.0,518539.0,1098430.0,1340298.0,145777.0,319475.0
50,530784.0,1077843.0,489760.0,103942.0,632334.0,6734811.0,730408.0,123837.0,3013052.0,650478.0,4889930.0,1068747.0,337114.0,762093.0,681564.0,4670975.0,247611.0,62753.0,92404.0,63973.0,2221343.0,1828539.0,564166.0,1106643.0,1328304.0,154990.0,318684.0
51,535799.0,1091022.0,494936.0,106651.0,637979.0,6747815.0,724244.0,121449.0,3071526.0,645797.0,4952087.0,1068164.0,358931.0,775551.0,699436.0,4760997.0,229082.0,64264.0,96167.0,65333.0,2275229.0,1907408.0,603502.0,1098509.0,1350831.0,153503.0,324465.0
52,542658.0,1100196.0,504944.0,112060.0,632609.0,6856831.0,709110.0,124103.0,3094562.0,647396.0,5075457.0,1108347.0,360572.0,797246.0,665965.0,4895298.0,236312.0,64739.0,94283.0,65403.0,1960402.0,1909357.0,627579.0,1128441.0,1347119.0,160258.0,330831.0
53,556603.0,1122731.0,496969.0,105030.0,633363.0,7027259.0,747159.0,119705.0,3188902.0,633139.0,5144141.0,1106773.0,368487.0,789296.0,736307.0,4974283.0,239328.0,66708.0,92934.0,69630.0,1905459.0,1913473.0,651391.0,1194261.0,1362004.0,170420.0,328346.0
54,549767.0,1134489.0,480138.0,112045.0,654844.0,6976071.0,735306.0,112565.0,3244912.0,660705.0,5248674.0,1151904.0,367904.0,825586.0,726275.0,5056358.0,240695.0,71105.0,96514.0,67735.0,2029182.0,1972631.0,682541.0,1179580.0,1354862.0,158166.0,335561.0
55,560295.0,1185557.0,506470.0,118973.0,660957.0,7106921.0,763594.0,122047.0,3322081.0,660081.0,5346973.0,1174565.0,383831.0,828013.0,735668.0,5298655.0,239149.0,69300.0,95259.0,66347.0,2056960.0,2037457.0,729976.0,1180099.0,1376448.0,170575.0,343571.0
56,556827.0,1184103.0,503907.0,116482.0,634537.0,7140825.0,777252.0,118686.0,3384339.0,670700.0,5412272.0,1162330.0,395064.0,818613.0,770961.0,5245288.0,238141.0,66625.0,94810.0,70824.0,2120448.0,2002624.0,746434.0,1268331.0,1381185.0,160202.0,339487.0
57,549391.0,1218590.0,510072.0,117503.0,634948.0,7087110.0,767273.0,116738.0,3375632.0,668749.0,5552803.0,1195305.0,407077.0,827711.0,774476.0,5388732.0,246452.0,73735.0,95164.0,72717.0,2185959.0,2021018.0,774593.0,1241768.0,1353182.0,164817.0,332729.0
58,556516.0,1227028.0,514997.0,111238.0,640004.0,7093964.0,784555.0,118907.0,3425200.0,661867.0,5741815.0,1224921.0,400023.0,836414.0,761412.0,5551166.0,253973.0,72274.0,94784.0,70786.0,2022691.0,2015207.0,813633.0,1281601.0,1346503.0,171665.0,337688.0
59,553523.0,1223964.0,521508.0,119619.0,661376.0,7231586.0,785221.0,113080.0,3451180.0,661843.0,5681243.0,1214440.0,409771.0,821520.0,732671.0,5652939.0,252634.0,71277.0,95375.0,78363.0,2020680.0,1964036.0,815084.0,1243006.0,1364817.0,167497.0,349891.0
60,555948.0,1234839.0,543937.0,122052.0,640916.0,7220795.0,779825.0,118079.0,3519755.0,665060.0,6040200.0,1223122.0,427436.0,856108.0,706997.0,5672404.0,248989.0,73053.0,96616.0,73757.0,2232912.0,1944665.0,848607.0,1242820.0,1353470.0,170083.0,346798.0
61,574489.0,1277254.0,519712.0,123109.0,659497.0,7562993.0,794774.0,121205.0,3564199.0,661805.0,5806456.0,1255988.0,430366.0,865197.0,734394.0,5794134.0,241194.0,73793.0,96616.0,80618.0,2304445.0,1954326.0,886234.0,1323811.0,1348741.0,171066.0,354037.0
62,590490.0,1273320.0,520916.0,114588.0,639762.0,7640057.0,786301.0,115304.0,3552372.0,651797.0,5687612.0,1215045.0,436244.0,840686.0,818365.0,5805247.0,250647.0,68946.0,94778.0,81039.0,1978001.0,1984736.0,910946.0,1282958.0,1387630.0,176516.0,351805.0
63,589623.0,1279383.0,553338.0,124257.0,656240.0,7766555.0,798468.0,118552.0,3567374.0,666786.0,5586618.0,1284400.0,446508.0,878864.0,800427.0,5956998.0,244612.0,70150.0,95688.0,79823.0,2180722.0,2011340.0,950976.0,1284701.0,1359541.0,175745.0,349760.0
