,AD,AL,AM,AT,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GE,GI,GR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MC,MD,MK,MT,NL,NO,PL,PT,RO,RU,SE,SI,SK,SM,TR,UA,VA
40,3778.0,101222.0,73205.0,445241.0,109042.0,780804.0,389973.0,87780.0,433790.0,78677.0,471259.0,5206447.0,552279.0,102456.0,1884172.0,533698.0,2010.0,3371966.0,5921035.0,150333.0,3754.0,778405.0,216753.0,584017.0,600512.0,174639.0,3206063.0,2971.0,182304.0,44286.0,80390.0,4491.0,41992.0,82411.0,50236.0,1516737.0,481703.0,1248411.0,174205.0,875439.0,1698441.0,987536.0,111773.0,227881.0,1905.0,3231770.0,422679.0,445.0
41,4022.0,112906.0,75603.0,450109.0,118257.0,848597.0,418323.0,92609.0,453962.0,85575.0,496074.0,5438968.0,572163.0,102083.0,1978068.0,552701.0,2371.0,3567353.0,6319008.0,148527.0,4558.0,805184.0,231640.0,610947.0,633757.0,200432.0,3359685.0,3488.0,187286.0,47672.0,80985.0,4676.0,43386.0,86753.0,51909.0,1618663.0,506322.0,1343315.0,193655.0,923259.0,1709105.0,1033710.0,120667.0,243584.0,1501.0,3360779.0,432440.0,558.0
42,5180.0,119461.0,74606.0,457361.0,127585.0,884902.0,433904.0,90947.0,488627.0,82274.0,524584.0,5731006.0,597133.0,105918.0,2169652.0,557587.0,2502.0,4153023.0,6574184.0,153058.0,5186.0,842174.0,246109.0,632057.0,707561.0,190179.0,3545655.0,3385.0,200036.0,56688.0,84441.0,6810.0,45022.0,93909.0,49468.0,1722127.0,538563.0,1382364.0,217839.0,921393.0,1738665.0,1105562.0,120322.0,250382.0,1711.0,3474766.0,432597.0,291.0
43,4848.0,128945.0,80775.0,480575.0,137655.0,929898.0,415924.0,93033.0,514812.0,90117.0,539969.0,6185318.0,632152.0,108946.0,2337466.0,577772.0,2588.0,4351623.0,6937921.0,162900.0,5389.0,878633.0,263207.0,649143.0,765833.0,199515.0,3818656.0,2771.0,203276.0,56361.0,87461.0,7457.0,48717.0,103546.0,55864.0,1780366.0,576177.0,1489762.0,263887.0,926028.0,1771846.0,1160899.0,129722.0,262321.0,2473.0,3572276.0,449616.0,457.0
44,4962.0,139197.0,82255.0,493143.0,149756.0,951363.0,458175.0,98157.0,531312.0,93081.0,572742.0,6166487.0,647502.0,119079.0,2457526.0,589291.0,3968.0,4284144.0,7389213.0,170434.0,5686.0,906160.0,274502.0,671445.0,773011.0,222231.0,3993441.0,3318.0,219574.0,58377.0,88397.0,6075.0,48868.0,112129.0,56526.0,1846734.0,581667.0,1607267.0,277789.0,1020834.0,1796944.0,1182183.0,132160.0,277975.0,2900.0,3736640.0,458824.0,240.0
45,5587.0,146884.0,81805.0,497406.0,157055.0,970916.0,474554.0,102629.0,551337.0,93656.0,578664.0,6219305.0,646363.0,111738.0,2564159.0,607697.0,3039.0,4379515.0,7664153.0,172731.0,6100.0,933543.0,281119.0,680485.0,561410.0,216668.0,4121329.0,3279.0,218517.0,59438.0,88520.0,6998.0,50217.0,113810.0,57249.0,1884080.0,607435.0,1606759.0,311514.0,1014008.0,1823380.0,1218927.0,132443.0,288051.0,2387.0,3838556.0,475422.0,377.0
46,5107.0,158122.0,84041.0,506601.0,166898.0,1005399.0,466265.0,105819.0,575613.0,93765.0,580533.0,6340921.0,673674.0,115361.0,2683480.0,615402.0,3430.0,4473254.0,8024038.0,179178.0,7016.0,974368.0,296053.0,695429.0,555752.0,217904.0,4231603.0,2822.0,218689.0,61439.0,84714.0,7652.0,50383.0,119695.0,61082.0,1974625.0,621436.0,1661735.0,355259.0,1071277.0,1822565.0,1250846.0,141135.0,296775.0,2421.0,3959303.0,479291.0,382.0
47,4129.0,169659.0,81989.0,521238.0,174494.0,1004551.0,464118.0,103649.0,603029.0,99435.0,577239.0,6451531.0,690049.0,122624.0,2763964.0,619580.0,3509.0,4588110.0,7921282.0,177851.0,6014.0,1007154.0,292948.0,708648.0,600643.0,224859.0,4360496.0,2879.0,226493.0,61773.0,94607.0,5246.0,50174.0,121676.0,60498.0,1958499.0,623662.0,1717790.0,387158.0,1089118.0,1824968.0,1244652.0,144712.0,308479.0,2647.0,4078891.0,483494.0,480.0
48,4973.0,170160.0,86729.0,518269.0,185066.0,1025406.0,472142.0,107559.0,622382.0,100685.0,600557.0,6472195.0,699771.0,120944.0,2851995.0,616474.0,3848.0,4646395.0,8400822.0,179219.0,6854.0,1013813.0,321161.0,748526.0,560865.0,223744.0,4404451.0,3402.0,231005.0,60429.0,93836.0,6504.0,50363.0,131234.0,59823.0,2050703.0,654939.0,1774543.0,438868.0,1081145.0,1844404.0,1308480.0,148471.0,311324.0,2094.0,4182485.0,476009.0,504.0
49,4691.0,179129.0,84033.0,527870.0,196055.0,1069353.0,494389.0,106527.0,633182.0,102421.0,624589.0,6645023.0,727231.0,121943.0,2972016.0,638380.0,4603.0,4855220.0,8579136.0,184958.0,6489.0,1039872.0,335212.0,753341.0,600269.0,221287.0,4520932.0,3493.0,249778.0,69357.0,92351.0,6509.0,53543.0,140193.0,62522.0,2204199.0,669085.0,1823157.0,518539.0,1098430.0,1856952.0,1340298.0,145777.0,319475.0,2407.0,4313150.0,486312.0,185.0
50,5391.0,185961.0,90750.0,530784.0,206639.0,1077843.0,489760.0,107660.0,658191.0,103942.0,632334.0,6734811.0,730408.0,123837.0,3013052.0,650478.0,3866.0,4889930.0,8762085.0,188727.0,6644.0,1068747.0,337114.0,762093.0,681564.0,235002.0,4670975.0,3687.0,247611.0,62753.0,92404.0,6677.0,53988.0,142502.0,63973.0,2221343.0,669135.0,1828539.0,564166.0,1106643.0,1877777.0,1328304.0,154990.0,318684.0,2560.0,4425326.0,496021.0,524.0
51,5735.0,185077.0,85478.0,535799.0,217204.0,1091022.0,494936.0,105422.0,657474.0,106651.0,637979.0,6747815.0,724244.0,121449.0,3071526.0,645797.0,4662.0,4952087.0,8884069.0,190838.0,6570.0,1068164.0,358931.0,775551.0,699436.0,246277.0,4760997.0,3248.0,229082.0,64264.0,96167.0,7877.0,50558.0,151406.0,65333.0,2275229.0,688069.0,1907408.0,603502.0,1098509.0,1861271.0,1350831.0,153503.0,324465.0,2396.0,4599881.0,504808.0,256.0
52,4891.0,197046.0,84669.0,542658.0,228401.0,1100196.0,504944.0,106209.0,682349.0,112060.0,632609.0,6856831.0,709110.0,124103.0,3094562.0,647396.0,4163.0,5075457.0,9298261.0,191159.0,7081.0,1108347.0,360572.0,797246.0,665965.0,198670.0,4895298.0,3642.0,236312.0,64739.0,94283.0,6650.0,53280.0,155509.0,65403.0,1960402.0,669320.0,1909357.0,627579.0,1128441.0,1892647.0,1347119.0,160258.0,330831.0,3189.0,4736527.0,503049.0,793.0
