,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
73,286139.0,27026.0,415918.0,273973.0,3033505.0,623953.0,427770.0,64237.0,2205862.0,2927491.0,73879.0,42283.0,2180175.0,591864.0,232564.0,538762.0,310580.0,457126.0,185564.0,1618954.0,1193232.0,1094657.0,501090.0,189278.0,644368.0,47149.0,154537.0,163239.0,177951.0,1970951.0,80866.0,3171538.0,1105295.0,23872.0,1592635.0,256926.0,233039.0,1781174.0,192267.0,546097.0,75368.0,658858.0,3851341.0,161369.0,87434.0,3059561.0,1704362.0,102230.0,522557.0,36138.0
74,313415.0,27247.0,443992.0,289435.0,2812208.0,690256.0,439981.0,63407.0,2319016.0,3119319.0,70458.0,46255.0,2469551.0,620267.0,262913.0,569603.0,330224.0,493201.0,195099.0,1669361.0,1229986.0,1148562.0,549296.0,201223.0,692363.0,51008.0,169236.0,169258.0,185722.0,2066336.0,88576.0,3297759.0,1138549.0,26148.0,1677105.0,251516.0,237694.0,1869297.0,199792.0,547009.0,77993.0,688415.0,4035847.0,177680.0,83176.0,3250780.0,1764884.0,109056.0,544511.0,41968.0
75,328462.0,27680.0,472138.0,306540.0,3036701.0,739975.0,477877.0,70245.0,2407796.0,3173698.0,63975.0,48038.0,2299718.0,634221.0,261478.0,591287.0,341339.0,513268.0,194988.0,1777077.0,1287429.0,1206164.0,593149.0,214160.0,733588.0,58048.0,180360.0,173768.0,191369.0,2130079.0,98990.0,3450736.0,1200703.0,29388.0,1735268.0,308409.0,247274.0,1995865.0,203474.0,578711.0,80279.0,736308.0,3997124.0,192377.0,89934.0,3192786.0,1673666.0,111404.0,578562.0,43782.0
76,338288.0,27142.0,494148.0,316938.0,3196829.0,787434.0,484510.0,73807.0,2501896.0,3268723.0,60061.0,53373.0,2475794.0,659788.0,258343.0,626326.0,357600.0,534674.0,196627.0,1833251.0,1342366.0,1222535.0,627349.0,220654.0,776141.0,63675.0,189423.0,179023.0,206608.0,2275677.0,100393.0,3590709.0,1224544.0,31354.0,1780250.0,332967.0,263744.0,2087302.0,220699.0,594952.0,85846.0,747277.0,4507220.0,201633.0,89667.0,3237753.0,1794733.0,121660.0,615616.0,47349.0
77,364825.0,27097.0,534484.0,336770.0,3316020.0,856190.0,498428.0,77640.0,2594417.0,3432490.0,55812.0,58898.0,2507872.0,674810.0,327815.0,652604.0,369388.0,566236.0,204398.0,1885801.0,1354248.0,1264807.0,661478.0,239516.0,801737.0,70082.0,202443.0,189225.0,202044.0,2308874.0,111657.0,3723440.0,1261824.0,35815.0,1839542.0,334159.0,277249.0,2144057.0,219660.0,622807.0,91059.0,781320.0,4552932.0,217222.0,92273.0,3262836.0,1915582.0,122079.0,640157.0,46711.0
78,377807.0,25286.0,561482.0,351489.0,3625160.0,903147.0,520476.0,76675.0,2688256.0,3615052.0,53556.0,65447.0,2538890.0,693704.0,346107.0,678023.0,382963.0,601740.0,202355.0,1981228.0,1391441.0,1309042.0,709498.0,252920.0,862849.0,72712.0,215701.0,199674.0,200621.0,2417893.0,121350.0,3879840.0,1348664.0,42376.0,1868907.0,370584.0,297736.0,2216694.0,218150.0,660064.0,97821.0,818477.0,4881465.0,230593.0,92323.0,3460854.0,1931389.0,131094.0,680322.0,51734.0
79,399703.0,28726.0,626244.0,368575.0,3817501.0,954202.0,524447.0,78634.0,2823551.0,3732674.0,52556.0,69543.0,2648451.0,718196.0,292972.0,722007.0,398889.0,644297.0,204403.0,2025604.0,1456116.0,1330886.0,742017.0,273966.0,912352.0,84149.0,233443.0,207126.0,207586.0,2450445.0,130070.0,4013390.0,1331453.0,43798.0,1935363.0,410499.0,309569.0,2247438.0,224403.0,649830.0,109033.0,843515.0,4909652.0,256513.0,95423.0,3510364.0,1880103.0,124342.0,709029.0,54779.0
80,417651.0,32057.0,678338.0,384144.0,3954372.0,1008262.0,534609.0,78986.0,2889357.0,3711759.0,49552.0,75344.0,2840141.0,745698.0,364413.0,739725.0,413036.0,661505.0,211163.0,2107925.0,1484300.0,1370935.0,791990.0,289299.0,943540.0,90052.0,245143.0,228873.0,211169.0,2535672.0,137504.0,4178742.0,1394532.0,44493.0,1983974.0,414587.0,337086.0,2351473.0,231382.0,686713.0,111856.0,882034.0,5051151.0,272627.0,94041.0,3786141.0,2173597.0,129318.0,735317.0,60242.0
81,436269.0,33039.0,716515.0,392288.0,4458345.0,1052922.0,543413.0,78886.0,2948247.0,3834462.0,50875.0,82346.0,2962062.0,762108.0,353683.0,762846.0,416024.0,686855.0,207717.0,2155204.0,1504422.0,1398269.0,806365.0,297164.0,969486.0,94366.0,253532.0,240861.0,216734.0,2610230.0,145143.0,4318075.0,1411739.0,46945.0,2031982.0,426915.0,356661.0,2375684.0,241605.0,695565.0,111622.0,913442.0,5308039.0,286018.0,96311.0,3743999.0,2242489.0,132579.0,762758.0,63985.0
82,446268.0,33778.0,758165.0,405130.0,4412492.0,1109618.0,566080.0,83883.0,3000525.0,3964705.0,51459.0,88839.0,3018676.0,770285.0,368922.0,798282.0,430134.0,702123.0,206547.0,2195658.0,1532445.0,1410113.0,834824.0,303503.0,997543.0,100399.0,258075.0,253567.0,213847.0,2674844.0,155881.0,4430638.0,1427103.0,50166.0,2048087.0,438282.0,375216.0,2439107.0,239750.0,681984.0,117810.0,930330.0,5512748.0,305783.0,96031.0,3774876.0,2355214.0,137791.0,786531.0,68150.0
